Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;DQR;Nom et code;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total
11084;11084;aides culinaires et ingrédients divers;algues;Agar (algue), cru;Seaweed, agar, raw;2,99;Agar (algue), cru (11084);4,57;1,49;0,29;0,38;0,02;0,01;6,77
11023;11023;aides culinaires et ingrédients divers;herbes;Ail séché, poudre;Garlic, powder, dried;4,11;Ail séché, poudre (11023);0,07;0,00;0,48;0,19;0,02;0,00;0,75
11000;11000;aides culinaires et ingrédients divers;herbes;Ail, cru;Garlic, fresh;3,54;Ail, cru (11000);0,08;0,00;0,00;0,17;0,02;0,08;0,36
11093;11093;aides culinaires et ingrédients divers;herbes;Aneth, frais;Dill, fresh;3,75;Aneth, frais (11093);0,22;0,00;0,33;0,16;0,02;0,08;0,82
20995;20995;aides culinaires et ingrédients divers;algues;Ao-nori (Enteromorpha sp.), séchée ou déshydratée;Sea lettuce (Enteromorpha sp.), dried or dehydrated;2,99;Ao-nori (Enteromorpha sp.), séchée ou déshydratée (20995);4,57;1,49;0,29;0,38;0,02;0,01;6,77
20998;20998;aides culinaires et ingrédients divers;algues;Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté;North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated;2,99;Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté (20998);4,57;1,49;0,29;0,20;0,02;0,01;6,58
37000;37000;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza à la crème;cream sauce for pizza base;2,89;Base de pizza à la crème (37000);1,44;0,30;0,11;0,12;0,02;0,00;1,98
37002;37002;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza tomatée;Tomato sauce for pizza base;3,19;Base de pizza tomatée (37002);0,23;0,17;0,11;0,19;0,02;0,00;0,72
11033;11033;aides culinaires et ingrédients divers;herbes;Basilic, frais;Basil, fresh;3,75;Basilic, frais (11033);0,22;0,00;0,33;0,16;0,02;0,08;0,82
11032;11032;aides culinaires et ingrédients divers;herbes;Basilic, séché;Basil, dried;3,75;Basilic, séché (11032);0,88;0,00;0,48;0,18;0,02;0,00;1,55
11507;11507;aides culinaires et ingrédients divers;ingrédients divers;Bicarbonate de soude;Sodium bicarbonate;2,97;Bicarbonate de soude (11507);0,00;0,90;0,10;0,11;0,02;0,00;1,13
11025;11025;aides culinaires et ingrédients divers;épices;Cannelle, poudre;Cinnamon, powder;3,37;Cannelle, poudre (11025);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11075;11075;aides culinaires et ingrédients divers;épices;Cardamome, poudre;Cardamom, powder;4,31;Cardamome, poudre (11075);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11064;11064;aides culinaires et ingrédients divers;épices;Carvi, graine;Caraway, seed;3,95;Carvi, graine (11064);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11002;11002;aides culinaires et ingrédients divers;herbes;Cerfeuil, frais;Chervil, fresh;3,95;Cerfeuil, frais (11002);0,22;0,00;0,33;0,16;0,02;0,08;0,82
11003;11003;aides culinaires et ingrédients divers;herbes;Ciboule ou Ciboulette, fraîche;Chive or spring onion, fresh;3,75;Ciboule ou Ciboulette, fraîche (11003);0,08;0,00;0,33;0,16;0,02;0,08;0,68
11052;11052;aides culinaires et ingrédients divers;épices;Clou de girofle;Cloves;3,56;Clou de girofle (11052);7,91;0,45;0,48;0,34;0,02;0,00;9,18
11094;11094;aides culinaires et ingrédients divers;herbes;Coriandre, fraiche;Coriander, fresh;3,75;Coriandre, fraiche (11094);0,40;0,00;0,30;0,23;0,02;0,03;0,97
11026;11026;aides culinaires et ingrédients divers;épices;Coriandre, graine;Coriander, seed;3,75;Coriandre, graine (11026);0,36;0,00;0,48;0,25;0,02;0,00;1,10
11172;11172;aides culinaires et ingrédients divers;aides culinaires;Court-bouillon pour poissons, déshydraté;Aromatic stock cube, for fish, dehydrated;3,55;Court-bouillon pour poissons, déshydraté (11172);0,61;6,22;2,32;0,23;0,02;0,03;9,43
39700;39700;aides culinaires et ingrédients divers;sauces;Crème anglaise, préemballée;Light custard cream with vanilla, prepacked;1,78;Crème anglaise, préemballée (39700);1,12;0,19;0,18;0,22;0,04;0,01;1,75
11042;11042;aides culinaires et ingrédients divers;épices;Cumin, graine;Cumin, seed;3,75;Cumin, graine (11042);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11089;11089;aides culinaires et ingrédients divers;épices;Curcuma, poudre;Turmeric, powder;4,31;Curcuma, poudre (11089);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11005;11005;aides culinaires et ingrédients divers;épices;Curry, poudre;Curry, powder;4,11;Curry, poudre (11005);7,92;0,45;0,48;0,34;0,02;0,00;9,19
20988;20988;aides culinaires et ingrédients divers;algues;Dulse (Palmaria palmata), séchée ou déshydratée;Dulse (Palmaria palmata), dried or dehydrated;2,99;Dulse (Palmaria palmata), séchée ou déshydratée (20988);4,57;1,49;0,29;0,20;0,02;0,01;6,58
11092;11092;aides culinaires et ingrédients divers;herbes;Estragon, frais;Tarragon, fresh;3,75;Estragon, frais (11092);0,20;0,00;0,30;0,14;0,02;0,03;0,69
11066;11066;aides culinaires et ingrédients divers;épices;Fenouil, graine;Fennel, seed;4,14;Fenouil, graine (11066);0,36;0,00;0,48;0,25;0,02;0,00;1,10
11077;11077;aides culinaires et ingrédients divers;épices;Fenugrec, graine;Fenugreek, seed;3,75;Fenugrec, graine (11077);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11082;11082;aides culinaires et ingrédients divers;sels;Fleur de sel, non iodée, non fluorée;Pure sea salt, no enrichment;2,02;Fleur de sel, non iodée, non fluorée (11082);0,30;0,00;0,18;0,11;0,02;0,00;0,61
20994;20994;aides culinaires et ingrédients divers;algues;Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté;Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated;2,99;Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté (20994);4,57;1,49;0,29;0,20;0,02;0,01;6,58
11007;11007;aides culinaires et ingrédients divers;ingrédients divers;Gélatine, sèche;Gelatine, dried;2,83;Gélatine, sèche (11007);1,45;0,10;0,10;0,11;0,02;0,00;1,78
11006;11006;aides culinaires et ingrédients divers;épices;Gingembre, poudre;Ginger, powder;4,31;Gingembre, poudre (11006);0,16;0,00;0,48;0,33;0,02;0,00;0,98
11074;11074;aides culinaires et ingrédients divers;épices;Gingembre, racine crue;Ginger, raw;3,73;Gingembre, racine crue (11074);0,16;0,00;0,00;0,28;0,02;0,00;0,45
20993;20993;aides culinaires et ingrédients divers;algues;Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated;2,99;Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée (20993);4,57;1,49;0,29;0,38;0,02;0,01;6,77
25620;25620;aides culinaires et ingrédients divers;sauces;Guacamole, préemballé;Guacamole, prepacked;2,51;Guacamole, préemballé (25620);0,67;0,23;0,17;0,35;0,04;0,01;1,47
20992;20992;aides culinaires et ingrédients divers;algues;Haricot de mer (Himanthalia elongata), séchée ou déshydratée;Sea thong (Himanthalia elongata), dried or dehydrated;2,99;Haricot de mer (Himanthalia elongata), séchée ou déshydratée (20992);4,57;1,49;0,29;0,20;0,02;0,01;6,58
11112;11112;aides culinaires et ingrédients divers;sauces;Harissa (sauce condimentaire);Harissa (hot spicy sauce), prepacked;2,98;Harissa (sauce condimentaire) (11112);0,69;0,21;0,18;0,30;0,04;0,01;1,42
11060;11060;aides culinaires et ingrédients divers;herbes;Herbes de Provence, séchées;Provence herbs, dried;3,13;Herbes de Provence, séchées (11060);0,89;0,00;0,48;0,18;0,02;0,00;1,56
25621;25621;aides culinaires et ingrédients divers;sauces;Houmous;Hummus;2,95;Houmous (25621);0,31;0,16;0,17;0,27;0,04;0,01;0,95
11008;11008;aides culinaires et ingrédients divers;sauces;Ketchup;Ketchup;2,76;Ketchup (11008);0,22;0,20;0,23;0,26;0,04;0,01;0,95
20991;20991;aides culinaires et ingrédients divers;algues;Kombu breton (Laminaria digitata), séchée ou déshydratée;Tangle (Laminaria digitata), dried or dehydrated;2,6;Kombu breton (Laminaria digitata), séchée ou déshydratée (20991);4,57;1,49;0,29;0,20;0,02;0,01;6,58
20990;20990;aides culinaires et ingrédients divers;algues;Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated;2,99;Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée (20990);4,57;1,49;0,29;0,38;0,02;0,01;6,77
20986;20986;aides culinaires et ingrédients divers;algues;Kombu royal (Saccharina latissima), séchée ou déshydratée;Sea belt (Saccharina latissima), dried or dehydrated;2,99;Kombu royal (Saccharina latissima), séchée ou déshydratée (20986);4,57;1,49;0,29;0,38;0,02;0,01;6,77
20985;20985;aides culinaires et ingrédients divers;algues;Laitue de mer (Ulva sp.), séchée ou déshydratée;Sea lettuce (ulva sp.), dried or dehydrated);2,99;Laitue de mer (Ulva sp.), séchée ou déshydratée (20985);4,57;1,49;0,29;0,20;0,02;0,01;6,58
11053;11053;aides culinaires et ingrédients divers;épices;Laurier, feuille;Bay, leaves;4,31;Laurier, feuille (11053);0,18;0,00;0,48;0,18;0,02;0,00;0,85
42200;42200;aides culinaires et ingrédients divers;ingrédients divers;Lécithine de soja;Soy lecithin;3,47;Lécithine de soja (42200);5,17;0,13;0,10;0,63;0,02;0,00;6,05
11009;11009;aides culinaires et ingrédients divers;ingrédients divers;Levure alimentaire;Nutritional yeast;2,46;Levure alimentaire (11009);0,00;5,49;0,01;0,10;0,02;0,00;5,61
11046;11046;aides culinaires et ingrédients divers;ingrédients divers;Levure chimique ou Poudre à lever;Baking powder or raising agent;2,85;Levure chimique ou Poudre à lever (11046);0,00;5,49;0,01;0,10;0,02;0,00;5,61
11010;11010;aides culinaires et ingrédients divers;ingrédients divers;Levure de boulanger, compressée;Baker's yeast, compressed;2,46;Levure de boulanger, compressée (11010);0,00;5,49;0,10;0,11;0,02;0,00;5,71
11045;11045;aides culinaires et ingrédients divers;ingrédients divers;Levure de boulanger, déshydratée;Baker's yeast, dehydrated;2,46;Levure de boulanger, déshydratée (11045);0,00;5,49;0,01;0,10;0,02;0,00;5,61
